།	punc -
གཡུང་རྒྱལ་	n.prop -
གཡུང་སྟོན་ཁྲོ་རྒྱལ་	n.prop -
གཡུང་སྟོན་ཁྲོ་རྒྱལ་ཅན་	n.prop -
གཡུལ་ངོ་	n.count -
གཡེང་	v.fut.v.pres -
གཡེང་གཏམ་	n.count -
གཡེང་བ	n.v.fut.n.v.pres -
གཡེང་བ་	n.v.fut.n.v.pres -
གཡེངས་	v.past -
གཡོ་ཐབས་	n.count -
གཡོ་བ	n.v.fut.n.v.pres -
གཡོ་ཟོལ་	n.count -
གཡོག་	n.count -
གཡོག་པོ་	n.count -
གཡོག་མོ་	n.count -
གཡོགས	v.past -
གཡོན་	n.count -
གཡོན་ཅན་	n.count -
གཡོས་	v.past -
གཡོས་པ	n.v.past -
གཡོས་པ་	n.v.past -
གར་མ་	adj -
གར་སླ་འབྲིང་	adj -
གལ་	adv.proclausal -	n.count -	v.fut.v.pres -
གཤགས་	v.past -
གཤའ	dunno -
གཤའ་མ་	n.count -
གཤིན་པོ་	adj -
གཤིན་ཟས་	n.count -
གཤིན་རྗེ	n.prop -
གཤེགས	v.imp -
གཤེགས་	v.invar -
གཤེགས་པ་	n.v.invar -
གཤེགས་ཚུལ་	n.v.invar -
གཤོངས	n.count -
གས་	v.past.v.pres -
གསང་བ་	n.v.invar -
གསང་མཚན་	n.count -
གསང་འདུས་	n.prop -
གསང་སྔགས་	n.count -
གསང་སྔགས་རྡོ་རྗེ་ཐེག་པ	n.count -
གསང་སྔགས་སྨིན་བྱེད་	n.count -
གསན་	v.fut.v.pres -	v.invar -
གསན་པ	n.v.past -	n.v.past.n.v.pres -
གསབ་	v.fut.v.pres -
གསར་མ	adj -
གསལ་	v.fut.v.pres -
གསལ་པོ་	adj -
གསལ་བ	n.v.fut.n.v.pres -
གསལ་འདེབས་	n.count -
གསིལ་	v.fut.v.pres -	v.invar -
གསུང་	n.count -	v.invar -	v.past.v.pres -
གསུང་གླེང་	n.count -
གསུང་ངག་	n.count -
གསུང་པ	n.v.fut.n.v.pres -
གསུང་པ་	n.v.fut.n.v.pres -
