།	punc -
གཏན་	n.count -
གཏན་པ་	n.v.past.n.v.pres -
གཏན་ཚིགས་ཐིགས་པ་	n.prop -
གཏན་ཚིགས་རིག་པ་	n.count -
གཏན་རྒྱུན་	n.count -
གཏམ་	n.count -
གཏམ་རྒྱུད་	n.count -
གཏམ་རྣམ་པ་	n.count -
གཏམས་གཏམས་	n.count -
གཏི་མུག་	n.count -
གཏི་མུག་མ་རིག་མུན་པ	n.count -
གཏི་མུག་མུན་	n.count -
གཏི་མུག་མུན་པ	n.count -
གཏིང་	n.count -	v.fut -
གཏིང་མཐའ་	n.count -
གཏུགས	v.invar -
གཏུགས་	v.invar -
གཏུགས་པ	n.v.invar -
གཏེང་བ	n.count -
གཏེར་	n.count -
གཏེར་ཁ་	n.count -
གཏོགས་	v.past -
གཏོགས་པ	n.v.past -
གཏོགས་པ་	n.v.invar -	n.v.past -
གཏོང་པ་	n.v.pres -
གཏོང་བ	n.v.pres -
གཏོང་བ་	n.v.pres -
གཏོད་	v.imp -
གཏོར	v.invar -
གཏོར་	v.fut.v.pres -	v.invar -
གཏོར་ཆོག་རྫོགས་རིམ་	n.count -
གཏོར་བ	n.v.fut.n.v.pres -
གཏོར་མ་	n.count -
གད་གཱ	n.prop -
གད་པ་	n.count -
གད་པ་འཁོར་ལོ་གྲགས་	n.prop -
གདགས་	v.fut -
གདགས་ཁྲི	n.prop -
གདགས་པ	n.v.fut -
གདགས་པ་	n.v.fut -
གདགས་པའི་བསྟན་བཅོས་	n.prop -
གདགས་ཚུལ་	n.v.fut -
གདན་	n.count -
གདན་བཞི	n.prop -
གདན་བཞི་	n.prop -
གདན་བཞིའི་དཀྱིལ་ཆོག་སྙིང་པོ་མདོར་བསགས	n.prop -
གདན་བཞིའི་སྒྲུབ་ཐབས	n.prop -
གདན་འདྲེན་	n.count -
གདན་ས་	n.count -
གདབ	v.fut -
གདབ་པ	n.v.fut -
གདབ་པ་	n.v.fut -
གདམས་	v.past -
གདམས་ངག་	n.count -
གདམས་པ	n.v.fut.n.v.past -
གདམས་པ་	n.count -	n.v.fut.n.v.past -
གདའ	v.invar -
གདིང་བ་	n.count -	n.v.fut -
གདིངས	v.past -
གདུ་	n.count -
གདུག་པ་ཅན་	adj -
གདུགས་	n.count -
གདུགས་ཚོད་	n.count -
གདུང་	n.count -
གདུང་གསེབ་	n.count -
གདུང་བ	n.v.fut.n.v.pres -
གདུང་བ་	n.v.fut.n.v.pres -
གདུང་འཁོར་ལོ	n.count -
གདུང་ཤ་རི་རམ་	n.count -
གདུངས	v.past -
གདུལ་	n.count -	v.fut -
གདུལ་བ	n.v.fut -
གདུལ་བ་	n.v.fut -
གདུལ་བྱ	n.count -
གདུལ་བྱ་	n.count -
གདུལ་བྱ་གང་ཟག་	n.count -
གདུལ་བྱ་དབང་པོ་	n.count -
གདུལ་བྱ་སྨིན་གྲོལ་	n.count -
གདེངས་ཀ་ཅན	n.count -
གདོང་	n.count -
གདོང་དམར་	n.count -
གདོང་དམར་ཅན་	n.count -
གདོང་མཆི་མ་	n.count -
གདོད་	adv.temp -
གདོན་	n.count -	v.fut.v.pres -
གདོན་ནད་	n.count -
གདོན་པ	n.v.pres -
གདྒཱ	n.prop -
གནག་པ	n.v.invar -
གནང་	v.invar -	v.past -
གནང་བ	n.v.invar -	n.v.past -
གནང་བ་	n.v.invar -	n.v.past -
གནངས་	adv.temp -
གནད་	n.count -
གནད་ཀྱི་ཟླ་ཟེར་	n.count -	n.prop -
གནམ་རི་སྲོང་བཙན་	n.prop -
གནམ་ལྕགས་ཐོག་གཟེར	n.prop -
གནམ་སྟོང་	n.count -
གནས	n.count -	v.fut.v.pres -	v.invar -
གནས་	n.count -	v.fut.v.pres -	v.invar -	v.past.v.pres -
གནས་གཞི་	n.count -
གནས་གསར་	n.prop -
གནས་པ	n.count -	n.v.fut.n.v.pres -	n.v.invar -
གནས་པ་	n.v.fut.n.v.pres -	n.v.invar -
གནས་བཅས་	n.prop -
གནས་བརྟན་	n.count -
གནས་བརྟན་པ	n.prop -
གནས་བརྟན་པ་	n.count -	n.prop -
གནས་བསྐལ་	n.count -
གནས་བྱ	n.v.fut -
གནས་མའི་བུ	n.prop -
གནས་མའི་བུ་	n.prop -
གནས་མལ་	n.count -
གནས་མུན་པ	n.count -
གནས་ཚུལ	n.v.invar -
གནས་ཚུལ་	n.v.invar -
གནས་རྙིང་	n.prop -
གནས་སྐབས་	n.count -
གནོང་	v.invar -
གནོད་	v.fut.v.pres -	v.invar -
གནོད་པ	n.v.fut.n.v.pres -	n.v.invar -
གནོད་པ་	n.v.invar -
གནོད་བྱེད་	n.count -
གནོད་སྦྱིན་	n.count -
གནོད་སྦྱིན་གྲུལ་བུམ་ལྟོ་འཕྱེ་ཆེན་པོ	n.count -
གནོད་སྦྱིན་བདག་པོ་	n.count -
གནོད་སྦྱིན་མོ	n.count -
གནོད་སྦྱིན་སྔགས་	n.count -
གནོན་	n.count -	v.pres -
གནོན་པ	n.v.pres -
གནོས་	v.imp -
གནྡྷ་མཧཱ་ན	n.prop -
གནྡྷོ་ལ	n.prop -
གབ་	v.invar -
གབ་ཚིག་	n.count -
གམ	cv.ques -
གམ་	cv.ques -	n.rel -
གཙང་	n.prop -	v.pres -
གཙང་གི་ལོ་སྟོན་རྡོ་རྗེ་དབང་ཕྱུག་	n.prop -
གཙང་ནག་པ	n.prop -
གཙང་པོ་	n.prop -
གཙང་བ	n.v.pres -
གཙང་བ་	n.v.pres -
གཙང་མ	adj -	n.prop -
གཙང་མ་	adj -	n.prop -
གཙང་འགྲམ	n.prop -
གཙང་འགྲམ་	n.prop -
གཙང་རོང་	n.count -
གཙང་སྦྲ་	n.count -
གཙུག་	n.count -
གཙུག་གི་ནོར་བུ་	n.prop -
གཙུག་ཏོ	n.count -
གཙུག་ཏོར་	n.prop -
གཙུག་ཏོར་ཅན་	n.prop -
གཙུག་དགུའི་རྒྱུད་	n.prop -
གཙུག་ན་ཟླ་བ་	n.count -
གཙུག་ན་རིན་ཆེན་མདོ་	n.prop -
གཙུག་ཕུད་	n.count -
གཙུག་ཕུད་ཀྱི་མཆོད་རྟེན་	n.prop -
གཙུག་ཕུད་ཅན་	n.count -
གཙུག་ལག་	n.count -
གཙུག་ལག་ཁང་	n.count -
གཙུག་ལག་ཁང་ཆེན་	n.prop -
གཙོ	n.count -
གཙོ་	n.count -
གཙོ་པོ	adj -
གཙོ་པོ་ནོར་ཆེན་	n.count -
གཙོ་བོ	adj -
གཙོ་བོ་	adj -
གཞག་	v.fut -
གཞག་པ་	n.v.fut -
གཞག་འདོད་	n.count -
གཞན	d.det -
གཞན་	d.det -
གཞན་དབང་ཀུན་རྫོབ་	n.count -
གཞན་དོན་ཅན	adj -
གཞན་དོན་ལེའུ་	n.count -
གཞན་པ	n.count -
གཞན་ཕན་བཟང་པོ་	n.prop -
གཞན་ལ་ཕན་པ་	n.prop -
གཞན་ལ་ཕན་པའི་བསམ་པ་	n.prop -
གཞལ་	v.fut -
གཞལ་བྱ་	n.count -
གཞལ་མེད་ཁང་	n.count -
གཞི	n.count -
གཞི་	n.count -
གཞི་ཀུན་པ་	n.prop -
གཞི་ངོས་	n.count -
གཞི་ཐམས་ཅད་	n.count -
གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བ	n.prop -
གཞི་ཐམས་ཅད་ཡོད་སྨྲ	n.prop -
གཞི་དང་སྙིང་པོ་མེ་ཏོག་བརྒྱན་པ	n.prop -
གཞི་ཕུང་པོ་	n.count -
གཞི་ཡོད་སྨྲ་བ་	n.count -
གཞིགས་པ	n.v.past.n.v.pres -
གཞུ་	n.count -
གཞུག་	v.fut -
གཞུག་པ	n.v.fut -
གཞུག་པ་	n.v.fut -
གཞུང་	n.count -
གཞུང་དོན་	n.count -
གཞུང་འགྲེལ་	n.count -
གཞུང་འབྱེད་ངང་ཚུལ་ཅན་	n.count -
གཞུང་འཛིན་	n.count -
གཞུང་ལུགས་	n.count -
གཞུའི་ཆུན་དགའ་ར་བ་	n.prop -
གཞེན་པ	n.v.pres -
གཞོགས་སློངས་	n.count -
གཞོང་པ	n.count -
གཞོང་པ་	n.count -
གཞོང་རིངས་	n.count -
གཞོན་	n.count -
གཞོན་ནུ	n.count -
གཞོན་ནུ་	adj -	n.count -	n.prop -
གཞོན་ནུ་ནགས་	n.count -
གཞོན་ནུ་ཕོ་བྲང་	n.count -
གཞོན་ནུ་བརྩན་འགྲས་སྤྱོད་	n.prop -
གཞོན་ནུ་བུམ་པ་	n.prop -
གཞོན་ནུ་མ་ལེན་	n.prop -
གཞོན་ནུ་འབུམ་པ་	n.prop -
གཞོན་ནུ་འབྱུང་གནས་	n.prop -
གཞོན་ནུ་རྣམ་པ	n.count -
གཞོན་ནུ་རྣམ་པར་རྒྱལ་བའི་སྡེ་གསེར་ཐུབ་	n.prop -
གཞོན་ནུ་སྨིན་དྲུག་	n.prop -
གཞོན་པ	n.count -
གཞོན་པ་	n.count -
གཞོམ་པ	n.v.fut.n.v.pres -
གཞོམ་པ་	n.v.fut.n.v.pres -
གཞོའི་འཆད་ཁང་	n.prop -
གཞོལ་བ	n.v.fut.n.v.pres -
གཞོལ་བ་	n.v.fut.n.v.pres -
གཟད་ཀྱི་ལྡིང་བ་	n.prop -
