།	punc -
གསེག་མ་	n.count -
གསེང་བ	n.v.invar -
གསེང་བར་	n.count -
གསེབ་	n.rel -
གསེར་	n.mass -
གསེར་གླིང་	n.prop -
གསེར་ཕྲེང་ཅན	n.prop -
གསེར་ཕྲེང་ཅན་	n.prop -
གསོ་	v.fut.v.pres -
གསོ་ཐབས་	n.v.fut.n.v.pres -
གསོ་བ	n.v.fut.n.v.pres -
གསོག་	v.fut.v.pres -
གསོག་པ་	n.v.fut.n.v.pres -
གསོད་པ་	n.v.pres -
གསོན	v.imp -
གསོན་	v.fut.v.pres -	v.imp -	v.invar -
གསོལ	v.invar -
གསོལ་	n.count -	v.invar -	v.past.v.pres -
གསོལ་བ	n.v.fut.n.v.pres -
གསོལ་བ་	n.v.fut.n.v.pres -
གསོས་	v.imp -	v.past -
གསོས་པ་	n.v.past -
གི	case.gen -
གི་	case.agn -	case.gen -	cv.gen -
གིན་	cv.cont -
གིས	case.agn -
གིས་	case.agn -	case.gen -	cv.agn -
གུ་ན་མ་སིདྡྷ་	n.prop -
གུ་ཡ་	n.count -
གུ་རུ་	skt -
གུ་ལང་གསེར་	n.mass -
གུག་	v.invar -
གུག་པ་	n.v.invar -
གུང་	n.rel -
གུད་	v.invar -
གུར་ཁང་	n.count -
གུར་ཕུབ་	n.count -
གུལ་ལེ་	adj -
གུས་	n.count -	v.invar -
གུས་པ	n.v.invar -
གེ	cv.ques -
གེགས་	n.count -
གོ	v.fut.v.pres -	v.invar -
གོ་	cv.fin -	v.invar -
གོ་ཁྲབ་	n.count -
གོ་བ	n.v.invar -	n.v.past -
གོ་བ་	n.v.invar -	n.v.past -
གོ་འཕང་	n.count -
གོ་རྒྱུ་	n.v.invar -
གོ་ལུགས་	n.v.invar -
གོང་	n.rel -
གོང་མ	adj -
གོང་མ་	adj -
གོང་རོལ་	n.rel -
གོད་	v.past -
གོད་ཉམས་	n.count -
གོམ་པ་	n.count -
གོམ་ཚུགས་	n.count -
གོམས་	v.fut.v.pres -
གོལ་	v.past -
གོལ་བ	n.v.fut.n.v.pres -
གོལ་ས་	n.v.invar -
གོས་	n.count -	v.invar -
གྱ་	n.count -
གྱི	case.gen -
གྱི་	case.agn -	case.gen -	cv.gen -	dunno -
གྱིན་	cv.cont -
གྱིས	case.agn -	v.imp -
གྱིས་	case.agn -	cv.agn -	v.imp -
གྱུར	v.past -
གྱུར་	v.past -
གྱུར་པ	n.v.past -
གྱུར་པ་	n.v.past -
གྱུར་བ	n.v.past -
གྱེན་	n.count -
གྱེར་ཕུ	n.prop -
གྱེས	v.imp -
གྱེས་	v.past -
གྱོ་ལེ	dunno -
གྱོན	v.invar -
གྱོན་པ	n.v.past.n.v.pres -
གྱོན་པ་	n.v.past.n.v.pres -
གྲ་	n.count -
གྲ་པ་	n.count -
གྲག	v.invar -
གྲག་པ	n.v.invar -
གྲགས	v.invar -
གྲགས་	n.count -	v.invar -	v.past -
གྲགས་པ	n.v.invar -	n.v.past -
གྲགས་པ་	n.v.invar -
གྲགས་པ་ཅན་	adj -
གྲང་	v.invar -
གྲང་བ	n.v.invar -
གྲངས་མཉམ་	adj -
གྲབས་	n.count -
གྲལ་	n.count -
གྲལ་གཡས་	n.count -
གྲལ་གཡོན་	n.count -
གྲལ་དབུ་	n.count -
གྲལ་པ་	n.count -
གྲལ་མགོ་	n.count -
གྲལ་མགོ་མ་	adj -	n.count -
གྲལ་འགོ་	n.count -
གྲི་གུག་	n.count -
གྲིང་ཁྱེར་	n.count -
གྲིབ་	n.count -
གྲིབ་མ་	n.count -
གྲུ	n.count -
གྲུ་	n.count -
གྲུ་གཟིངས་	n.count -
གྲུ་གཟིངས་ཕལ་	n.count -
གྲུབ	v.past -
གྲུབ་	v.past -
གྲུབ་ཐོབ་	n.count -
གྲུབ་པ	n.v.past -
གྲུབ་པ་	n.v.past -
གྲུབ་མཐ	n.count -
གྲུབ་མཐའ་	n.count -
གྲེ་འགྱུར་	n.count -
གྲོ་བོ་ལུང་	n.prop -
གྲོ་བོ་ལུང་དཔེ་གསར་	n.prop -
གྲོ་ལམ་	n.count -
གྲོགས	n.count -
གྲོགས་	n.count -
གྲོགས་པོ་	n.count -
གྲོགས་ཕུགས་	n.count -
གྲོགས་ཛོ་ཀི་	n.count -
གྲོང་	n.count -
གྲོང་ཁྱེར་	n.count -
གྲོང་འཇུག་	n.count -
གྲོང་འཇུག་ལམ་	n.count -
གྲོངས་ཐེངས་	n.count -
གྲོངས་པ	n.v.past -
གྲོལ	v.invar -
གྲོལ་	v.fut.v.pres -	v.invar -
གྲོལ་བ	n.v.fut.n.v.pres -	n.v.past -
གྲོལ་བ་	n.v.fut.n.v.pres -
གྲོལ་བྱ	n.v.invar -
གྲོས་མགོ	n.count -
གྲྭ་པ་	n.count -
གྲྭ་བ་	n.count -
གླང་ཆེན་	n.count -
གླང་པོ་	n.count -
གླང་པོ་ཆེ་	n.count -
གླང་པོ་མཁར་	n.prop -
གླང་པོ་སྣ	n.prop -
གླིང་	n.count -
གླུ	n.count -
གླུ་	n.count -
གླུ་གར་	n.count -
གླེང་མོ་	n.count -
གློ་བུ	adv.temp -
གློ་སྙིང་	n.count -
གློག་དམར་	n.count -
གློག་འགྱུ་	n.count -
གློད་	v.past -
ང	p.pers -
ང་	p.pers -
ང་ཅན་	dunno -
ང་རོ	n.count -
ང་རོ་	n.count -
ང་རྒྱལ་	n.count -
ང་རྒྱལ་རི་བོ་	n.count -
ངག་	n.count -
ངང་	n.count -	n.rel -
ངན་	v.invar -
ངན་པ་	n.v.past.n.v.pres -
ངན་རྟོག་	n.count -
ངན་རྫོང་	n.prop -
ངན་ལན་	n.count -
ངན་སོང་	n.count -
ངམ	cv.ques -
ངམ་	cv.ques -
ངར་སྐད་	n.count -
ངལ་དུབ་	n.count -
ངུ་	n.count -	v.fut.v.pres -
ངུ་ངག་	n.count -
ངུ་འབོད་	n.count -
ངེ་ཀ་	dunno -
ངེད་	p.pers -
ངེས	v.invar -
ངེས་	v.invar -
ངེས་པ	n.v.invar -
ངེས་མེད་	adj -
ངེས་འབྱུང་	n.count -
ངེས་ཤེས་	n.count -
ངོ	n.count -
ངོ་	cv.fin -	dunno -	n.count -
ངོ་ཆེ	adj -
ངོ་ཐོག་	n.count -
ངོ་པོ་ཉིད	n.count -
ངོ་བོ	n.count -
ངོ་བོ་	n.count -
ངོ་བོ་ཅན	adj -
ངོ་བོ་ཉིད་	n.count -
ངོ་མཚར་	adj -	n.count -
ངོ་མཚར་ཅན་	adj -
ངོ་འཕུར་	dunno -
ངོ་ལྐོག་	n.count -
ངོ་སྤྲོད་	n.count -
ངོས་	n.count -
ངོས་བཟུང་	n.count -
ཅང་	cl.focus -
ཅན	dunno -
ཅན་	dunno -
